# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O I-IV, C I-IV, N I-V, Si I-IV, Mg I-IV, S I-IV (missing Ne I-IV, Ar I-IV)
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: 4 (+ no restrictions for H I, + some He n>4 at the bottom, + n5-12 with -log(gf) > 0 for the above elements)
# Transition types included: Nebular (E1,E2)
# Transitions from auto-ionizing levels: included
# Comment code: A-> activity, D -> diagnostic line (global), V -> vsini, Q -> affected by wind, Teff -> used for determination of Teff, RV_O/B/A -> good for RV determination

wl_air	   , dlamb  , spc   , tt, configuration                              , term               , J_i-J_k          , -lg(gf), tpf, level_energy(cm-1)     , ref    ,  name, comment
3835.716   , 1.3e-02, C II  , E1,                2s2.4p-2s.2p.(3Po).3p       ,       2Po-2D       ,    1/2 - 3/2     , -0.8393,  24,  162517.89 -  188581.25, ASD    ,      ,
3836.699   , 1.3e-02, C II  , E1,                2s2.4p-2s.2p.(3Po).3p       ,       2Po-2D       ,    3/2 - 3/2     , -1.5354,  24,  162524.57 -  188581.25, ASD    ,      ,
3837.6     , 9.3e-01, O IV  , E1,        2s.2p.(1Po).3d-2s.2p.(3Po).4f       ,       2Fo-2G       ,    7/2 - 9/2     , -1.3227, ur3,  570797.00 -  596847.60, ASD    ,      ,
3837.726   , 1.3e-02, S III , E1,             3s2.3p.4s-3s2.3p.4p            ,       3Po-3P       ,      1 - 1       , -0.8143,  19,  146737.55 -  172787.26, ASD    ,      ,
3838.268   , 1.3e-02, S III , E1,             3s2.3p.4s-3s2.3p.4p            ,       3Po-3P       ,      2 - 2       , -0.3140,  19,  147147.11 -  173193.14, ASD    ,      ,
3838.2900  , 1.3e-03, Mg I  , E1,                 3s.3p-3s.3d                ,       3Po-3D       ,      2 - 1       , -1.5273,  17,   21911.18 -   47957.06, ASD    ,      ,
3838.2919  , 1.3e-03, Mg I  , E1,                 3s.3p-3s.3d                ,       3Po-3D       ,      2 - 3       ,  0.3974,  17,   21911.18 -   47957.04, ASD    ,      ,
3838.2946  , 1.3e-03, Mg I  , E1,                 3s.3p-3s.3d                ,       3Po-3D       ,      2 - 2       , -0.3511,  17,   21911.18 -   47957.03, ASD    ,      ,
3838.374   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).3p-2s2.2p.(2Po).4s      ,        3P-3Po      ,      2 - 2       , -0.1085,   3,  170666.03 -  196711.34, 030    ,      ,
3838.697   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).4p-2s.2p2.(4P).3p       ,        3P-3Do      ,      2 - 1       , -2.1999,   3,  203258.78 -  229301.90, 030    ,      ,
3841.1     , 1.3e+00, O IV  , E1,        2s.2p.(1Po).3p-2s.2p.(1Po).3d       ,        2P-2Do      ,    1/2 - 3/2     , -0.4597,   3,  549792.00 -  575819.00, ASD    ,      ,
3841.1     , 3.0e+00, N II  , E1,        2s.2p2.(4P).4p-2s.2p2.(2D).3d       ,       3Po-3D       ,      1 - 1       ,        ,    ,  262338.00 -  288364.80, 030    ,      ,
3841.1     , 3.0e+00, N II  , E1,        2s.2p2.(4P).4p-2s.2p2.(2D).3d       ,       3Po-3D       ,      1 - 2       ,        ,    ,  262338.00 -  288364.80, 030    ,      ,
3842.187   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).3p-2s2.2p.(2Po).4s      ,        3P-3Po      ,      0 - 1       , -0.6829,   3,  170572.41 -  196591.87, 030    ,      ,
3842.4     , 1.3e+00, O IV  , E1,           2p2.(3P).3s-2p2.(3P).3p          ,        4P-4Do      ,    5/2 - 7/2     ,  0.0859,   3,  577209.00 -  603227.00, ASD    ,      ,
3842.8138  , 1.3e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).3d      ,       4Do-4D       ,    1/2 - 3/2     , -1.1502,  15,  206730.76 -  232745.98, ASD    ,      ,
3842.849   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).4p-3s2.3p2.(3P).4d      ,       2Po-2P       ,    1/2 - 1/2     , -0.9036,   3,  133268.68 -  159283.66, ASD    ,      ,
3845.4     , 1.3e+00, O IV  , E1,        2s.2p.(1Po).3p-2s.2p.(1Po).3d       ,        2P-2Do      ,    3/2 - 5/2     , -0.2049,   3,  549855.00 -  575853.00, ASD    ,      ,
3846.41    , 3.0e-01, N II  , E1,        2s.2p2.(4P).4p-2s.2p2.(2D).3d       ,       3Po-3D       ,      2 - 1       ,        ,    ,  262373.89 -  288364.80, 030    ,      ,
3846.41    , 3.0e-01, N II  , E1,        2s.2p2.(4P).4p-2s.2p2.(2D).3d       ,       3Po-3D       ,      2 - 2       ,        ,    ,  262373.89 -  288364.80, 030    ,      ,
3846.41    , 3.0e-01, N II  , E1,        2s.2p2.(4P).4p-2s.2p2.(2D).3d       ,       3Po-3D       ,      2 - 3       ,        ,    ,  262373.89 -  288364.80, 030    ,      ,
3846.512   , 1.3e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Fo-4D       ,    3/2 - 1/2     , -1.4640,  24,  195752.58 -  221742.79, ASD    ,      ,
3847.404   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).3p-2s2.2p.(2Po).4s      ,        3P-3Po      ,      1 - 1       , -0.8085,   3,  170607.69 -  196591.87, 030    ,      ,
3847.42    , 1.3e-01, Mg III, E1,            2s2.2p5.3d-2s2.2p5.(2Po<3/2>).4p,       1Po-3/2[5/2] ,      1 - 2       ,        ,    ,  536152.00 -  562136.10, ASD    ,      ,
3847.8930  , 1.3e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).3d      ,       4Do-4D       ,    1/2 - 1/2     , -1.1911,  15,  206730.76 -  232711.64, ASD    ,      ,
3848.451   , 1.3e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Fo-4D       ,    3/2 - 3/2     , -1.8959,  24,  195752.58 -  221729.69, ASD    ,      ,
3850.2     , 1.3e+00, O IV  , E1,           2p2.(3P).3s-2p2.(3P).3p          ,        4P-4Do      ,    3/2 - 3/2     , -0.4891,   3,  576997.00 -  602962.00, ASD    ,      ,
3850.4     , 1.3e+00, O IV  , E1,        2s.2p.(1Po).3p-2s.2p.(1Po).3d       ,        2P-2Do      ,    3/2 - 3/2     , -1.1597,   3,  549855.00 -  575819.00, ASD    ,      ,
3850.418   , 1.3e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Fo-4D       ,    5/2 - 3/2     , -1.0672,  24,  195765.85 -  221729.69, ASD    ,      ,
3850.7987  , 1.3e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).3d      ,       4Do-4D       ,    3/2 - 5/2     , -1.1944,  15,  206786.29 -  232747.56, ASD    ,      ,
3850.909   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).4p-3s2.3p2.(3P).4d      ,       4Po-4P       ,    3/2 - 5/2     , -0.4281,   3,  129858.18 -  155818.71, ASD    ,      ,
3851.0332  , 1.3e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).3d      ,       4Do-4D       ,    3/2 - 3/2     , -0.9213,  15,  206786.29 -  232745.98, ASD    ,      ,
3851.711   , 1.3e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Fo-4D       ,    3/2 - 5/2     , -2.6096,  24,  195752.58 -  221707.71, ASD    ,      ,
3852.18    , 1.3e-01, Mg IV , E1,       2s2.2p4.(1S).3s-2s2.2p4.(1D).3p      ,        2S-2Po      ,    1/2 - 3/2     , -3.4941,  17,  624109.60 -  650061.60, ASD    ,      ,
3852.395   , 1.3e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(3P).4d      ,       2Do-2D       ,    5/2 - 5/2     , -1.4010,   3,  229947.07 -  255897.59, ASD    ,      ,
3853.070   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).3d-3s2.3p2.(1D).4p      ,        2F-2Do      ,    5/2 - 3/2     , -3.0804,  22,  114804.37 -  140750.34, ASD    ,      ,
3853.474   , 1.3e-02, O III , E1,        2s.2p2.(4P).3p-2s.2p2.(4P).3d       ,       3Do-3P       ,      1 - 0       , -2.9360,   3,  374571.64 -  400514.89, 039    ,      ,
3853.665   , 1.3e-02, Si II , E1,                3s.3p2-3s2.4p               ,        2D-2Po      ,    3/2 - 3/2     , -1.3893,   7,   55309.35 -   81251.32, ASD    ,      ,
3853.681   , 1.3e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Fo-4D       ,    5/2 - 5/2     , -1.6837,  24,  195765.85 -  221707.71, ASD    ,      ,
3855.0139  , 1.3e-03, O I   , E1,      2s2.2p3.(2Do).3s-2s2.2p3.(2Po).3p     ,       1Do-1D       ,      2 - 2       , -1.7422,   3,  102662.03 -  128594.92, ASD    ,      ,
3855.053   , 1.3e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Fo-4D       ,    5/2 - 7/2     , -2.5698,  24,  195765.85 -  221698.48, ASD    ,      ,
3855.096   , 1.1e-02, N II  , E1,       2s2.2p.(2Po).3p-2s2.2p.(2Po).4s      ,        3P-3Po      ,      1 - 0       , -0.6844,   3,  170607.69 -  196540.03, 030    ,      ,
3855.570   , 1.3e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(3P).4d      ,       2Do-2D       ,    3/2 - 5/2     , -2.5475,   3,  229968.44 -  255897.59, ASD    ,      ,
3856.018   , 1.3e-02, Si II , E1,                3s.3p2-3s2.4p               ,        2D-2Po      ,    5/2 - 3/2     , -0.4342,   7,   55325.18 -   81251.32, ASD    ,      ,
3856.062   , 1.1e-02, N II  , E1,       2s2.2p.(2Po).3p-2s2.2p.(2Po).4s      ,        3P-3Po      ,      2 - 1       , -0.5876,   3,  170666.03 -  196591.87, 030    ,      ,
3856.1342  , 1.3e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).3d      ,       4Do-4D       ,    3/2 - 1/2     , -0.9913,  15,  206786.29 -  232711.64, ASD    ,      ,
3856.638   , 1.3e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Fo-4D       ,    7/2 - 5/2     , -0.7430,  24,  195785.74 -  221707.71, ASD    ,      ,
3858.012   , 1.3e-02, C II  , E1,        2s.2p.(3Po).3d-2s.2p.(3Po).4f       ,       4Fo-4D       ,    7/2 - 7/2     , -1.5359,  24,  195785.74 -  221698.48, ASD    ,      ,
3859.236   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).3d-3s2.3p2.(1D).4p      ,        2F-2Do      ,    5/2 - 5/2     , -4.0720,  22,  114804.37 -  140708.89, ASD    ,      ,
3860.530   , 1.3e-02, O II  , E1,       2s2.2p2.(1D).3p-2s2.2p2.(3P).4d      ,       2Do-2D       ,    5/2 - 3/2     , -2.5480,   3,  229947.07 -  255842.91, ASD    ,      ,
3860.598   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).4p-3s2.3p2.(3P).4d      ,       4Po-4P       ,    5/2 - 3/2     , -0.4292,   3,  130134.16 -  156029.54, ASD    ,      ,
3860.619   , 1.3e-02, S III , E1,             3s2.3p.4s-3s2.3p.4p            ,       3Po-3P       ,      1 - 0       , -1.3869,  19,  146737.55 -  172632.79, ASD    ,      ,
